제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
625800740,메만텐정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
690300930,비엘메만틴정10mg(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
646204060,메만티젠정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
660703260,만티니정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
658107480,마만틴정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
623006020,엔틱사정10밀리그램(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
653702330,메믹사정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
657307990,동구메만틴염산염정10밀리그램_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
646004930,뉴빅사정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
689001260,시빅스정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
649405290,영일메만틴정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
649002310,젠빅사정10밀리그램(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
657401780,퍼슨메만틴정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
